cycle_id,subject,population,block,trial,side,cycle_in_trial,class_label,fmg_start_sample,fmg_end_sample_exclusive,raw_samples,duration_s,contact_threshold
Sub01_A_T05_L_C07,Sub01_A,amputee,1,5,left,7,unassigned_steady_or_transition,17369,17535,166,1.6499999999999773,947.8574000000001
Sub01_A_T05_L_C08,Sub01_A,amputee,1,5,left,8,unassigned_steady_or_transition,17535,17713,178,1.7699999999999818,947.8574000000001
Sub01_A_T05_L_C09,Sub01_A,amputee,1,5,left,9,unassigned_steady_or_transition,17713,17880,167,1.670000000000016,947.8574000000001
Sub01_A_T05_L_C10,Sub01_A,amputee,1,5,left,10,gait_termination,17880,18053,173,1.7300000000000182,947.8574000000001
Sub01_A_T05_R_C01,Sub01_A,amputee,1,5,right,1,gait_initiation,16341,16458,117,1.1599999999999682,247.95000000000002
Sub01_A_T05_R_C02,Sub01_A,amputee,1,5,right,2,unassigned_steady_or_transition,16458,16626,168,1.6800000000000068,247.95000000000002
Sub01_A_T05_R_C03,Sub01_A,amputee,1,5,right,3,unassigned_steady_or_transition,16626,16789,163,1.6299999999999955,247.95000000000002
Sub01_A_T05_R_C04,Sub01_A,amputee,1,5,right,4,unassigned_steady_or_transition,16789,16962,173,1.7299999999999613,247.95000000000002
Sub01_A_T05_R_C05,Sub01_A,amputee,1,5,right,5,unassigned_steady_or_transition,16962,17127,165,1.6400000000000432,247.95000000000002
Sub01_A_T05_R_C06,Sub01_A,amputee,1,5,right,6,unassigned_steady_or_transition,17127,17304,177,1.759999999999991,247.95000000000002
Sub01_A_T05_R_C07,Sub01_A,amputee,1,5,right,7,unassigned_steady_or_transition,17304,17470,166,1.660000000000025,247.95000000000002
Sub01_A_T05_R_C08,Sub01_A,amputee,1,5,right,8,unassigned_steady_or_transition,17470,17641,171,1.7099999999999795,247.95000000000002
Sub01_A_T05_R_C09,Sub01_A,amputee,1,5,right,9,unassigned_steady_or_transition,17641,17809,168,1.67999999999995,247.95000000000002
Sub01_A_T05_R_C10,Sub01_A,amputee,1,5,right,10,unassigned_steady_or_transition,17809,17985,176,1.75,247.95000000000002
Sub01_A_T05_R_C11,Sub01_A,amputee,1,5,right,11,gait_termination,17985,18156,171,1.7099999999999795,247.95000000000002
Sub01_A_T06_L_C01,Sub01_A,amputee,1,6,left,1,gait_initiation,19701,19877,176,1.75,-999.5195
Sub01_A_T06_L_C02,Sub01_A,amputee,1,6,left,2,unassigned_steady_or_transition,19877,20039,162,1.6200000000000045,-999.5195
Sub01_A_T06_L_C03,Sub01_A,amputee,1,6,left,3,unassigned_steady_or_transition,20039,20203,164,1.6299999999999955,-999.5195
Sub01_A_T06_L_C04,Sub01_A,amputee,1,6,left,4,unassigned_steady_or_transition,20203,20379,176,1.759999999999991,-999.5195
Sub01_A_T06_L_C05,Sub01_A,amputee,1,6,left,5,unassigned_steady_or_transition,20379,20557,178,1.7800000000000296,-999.5195
Sub01_A_T06_L_C06,Sub01_A,amputee,1,6,left,6,unassigned_steady_or_transition,20557,20723,166,1.6599999999999682,-999.5195
Sub01_A_T06_L_C07,Sub01_A,amputee,1,6,left,7,unassigned_steady_or_transition,20723,20897,174,1.75,-999.5195
Sub01_A_T06_L_C08,Sub01_A,amputee,1,6,left,8,unassigned_steady_or_transition,20897,21051,154,1.5399999999999636,-999.5195
Sub01_A_T06_L_C09,Sub01_A,amputee,1,6,left,9,unassigned_steady_or_transition,21051,21213,162,1.6199999999999477,-999.5195
Sub01_A_T06_L_C10,Sub01_A,amputee,1,6,left,10,gait_termination,21213,21380,167,1.669999999999959,-999.5195
Sub01_A_T06_R_C01,Sub01_A,amputee,1,6,right,1,gait_initiation,19745,19921,176,1.759999999999991,-278.29999999999995
Sub01_A_T06_R_C02,Sub01_A,amputee,1,6,right,2,unassigned_steady_or_transition,19921,20078,157,1.5699999999999932,-278.29999999999995
Sub01_A_T06_R_C03,Sub01_A,amputee,1,6,right,3,unassigned_steady_or_transition,20078,20252,174,1.740000000000009,-278.29999999999995
Sub01_A_T06_R_C04,Sub01_A,amputee,1,6,right,4,unassigned_steady_or_transition,20252,20429,177,1.7699999999999818,-278.29999999999995
Sub01_A_T06_R_C05,Sub01_A,amputee,1,6,right,5,unassigned_steady_or_transition,20429,20593,164,1.6299999999999955,-278.29999999999995
Sub01_A_T06_R_C06,Sub01_A,amputee,1,6,right,6,unassigned_steady_or_transition,20593,20760,167,1.6800000000000068,-278.29999999999995
Sub01_A_T06_R_C07,Sub01_A,amputee,1,6,right,7,unassigned_steady_or_transition,20760,20926,166,1.6599999999999682,-278.29999999999995
Sub01_A_T06_R_C08,Sub01_A,amputee,1,6,right,8,unassigned_steady_or_transition,20926,21086,160,1.6000000000000227,-278.29999999999995
Sub01_A_T06_R_C09,Sub01_A,amputee,1,6,right,9,gait_termination,21086,21249,163,1.6299999999999955,-278.29999999999995
Sub01_A_T07_L_C01,Sub01_A,amputee,1,7,left,1,gait_initiation,22930,23103,173,1.7300000000000182,953.7162000000001
Sub01_A_T07_L_C02,Sub01_A,amputee,1,7,left,2,unassigned_steady_or_transition,23103,23267,164,1.6399999999999864,953.7162000000001
Sub01_A_T07_L_C03,Sub01_A,amputee,1,7,left,3,unassigned_steady_or_transition,23267,23423,156,1.5600000000000023,953.7162000000001
Sub01_A_T07_L_C04,Sub01_A,amputee,1,7,left,4,unassigned_steady_or_transition,23423,23584,161,1.6100000000000136,953.7162000000001
Sub01_A_T07_L_C05,Sub01_A,amputee,1,7,left,5,unassigned_steady_or_transition,23584,23755,171,1.7000000000000455,953.7162000000001
Sub01_A_T07_L_C06,Sub01_A,amputee,1,7,left,6,unassigned_steady_or_transition,23755,23931,176,1.759999999999991,953.7162000000001
Sub01_A_T07_L_C07,Sub01_A,amputee,1,7,left,7,unassigned_steady_or_transition,23931,24108,177,1.7700000000000387,953.7162000000001
Sub01_A_T07_L_C08,Sub01_A,amputee,1,7,left,8,unassigned_steady_or_transition,24108,24272,164,1.6299999999999955,953.7162000000001
Sub01_A_T07_L_C09,Sub01_A,amputee,1,7,left,9,unassigned_steady_or_transition,24272,24432,160,1.5900000000000318,953.7162000000001
Sub01_A_T07_L_C10,Sub01_A,amputee,1,7,left,10,gait_termination,24432,24610,178,1.7799999999999727,953.7162000000001
Sub01_A_T07_R_C01,Sub01_A,amputee,1,7,right,1,gait_initiation,23071,23241,170,1.6999999999999886,-301.73
Sub01_A_T07_R_C02,Sub01_A,amputee,1,7,right,2,unassigned_steady_or_transition,23241,23394,153,1.5300000000000296,-301.73
Sub01_A_T07_R_C03,Sub01_A,amputee,1,7,right,3,unassigned_steady_or_transition,23394,23558,164,1.6299999999999955,-301.73
Sub01_A_T07_R_C04,Sub01_A,amputee,1,7,right,4,unassigned_steady_or_transition,23558,23729,171,1.7099999999999795,-301.73
Sub01_A_T07_R_C05,Sub01_A,amputee,1,7,right,5,unassigned_steady_or_transition,23729,23914,185,1.849999999999966,-301.73
Sub01_A_T07_R_C06,Sub01_A,amputee,1,7,right,6,unassigned_steady_or_transition,23914,24085,171,1.7100000000000364,-301.73
Sub01_A_T07_R_C07,Sub01_A,amputee,1,7,right,7,unassigned_steady_or_transition,24085,24251,166,1.6599999999999682,-301.73
Sub01_A_T07_R_C08,Sub01_A,amputee,1,7,right,8,unassigned_steady_or_transition,24251,24409,158,1.579999999999984,-301.73
Sub01_A_T07_R_C09,Sub01_A,amputee,1,7,right,9,gait_termination,24409,24584,175,1.75,-301.73
Sub01_A_T08_L_C01,Sub01_A,amputee,1,8,left,1,gait_initiation,25965,26122,157,1.5600000000000023,-1010.712
Sub01_A_T08_L_C02,Sub01_A,amputee,1,8,left,2,unassigned_steady_or_transition,26122,26280,158,1.579999999999984,-1010.712
Sub01_A_T08_L_C03,Sub01_A,amputee,1,8,left,3,unassigned_steady_or_transition,26280,26431,151,1.5,-1010.712
Sub01_A_T08_L_C04,Sub01_A,amputee,1,8,left,4,unassigned_steady_or_transition,26431,26607,176,1.759999999999991,-1010.712
Sub01_A_T08_L_C05,Sub01_A,amputee,1,8,left,5,unassigned_steady_or_transition,26607,26772,165,1.6399999999999864,-1010.712
Sub01_A_T08_L_C06,Sub01_A,amputee,1,8,left,6,unassigned_steady_or_transition,26772,26944,172,1.7200000000000273,-1010.712
Sub01_A_T08_L_C07,Sub01_A,amputee,1,8,left,7,unassigned_steady_or_transition,26944,27127,183,1.829999999999984,-1010.712
Sub01_A_T08_L_C08,Sub01_A,amputee,1,8,left,8,unassigned_steady_or_transition,27127,27291,164,1.6299999999999955,-1010.712
Sub01_A_T08_L_C09,Sub01_A,amputee,1,8,left,9,unassigned_steady_or_transition,27291,27457,166,1.6499999999999773,-1010.712
Sub01_A_T08_L_C10,Sub01_A,amputee,1,8,left,10,gait_termination,27457,27628,171,1.7099999999999795,-1010.712
Sub01_A_T08_R_C01,Sub01_A,amputee,1,8,right,1,gait_initiation,26003,26160,157,1.5699999999999932,-292.985
Sub01_A_T08_R_C02,Sub01_A,amputee,1,8,right,2,unassigned_steady_or_transition,26160,26320,160,1.599999999999966,-292.985
Sub01_A_T08_R_C03,Sub01_A,amputee,1,8,right,3,unassigned_steady_or_transition,26320,26477,157,1.57000000000005,-292.985
Sub01_A_T08_R_C04,Sub01_A,amputee,1,8,right,4,unassigned_steady_or_transition,26477,26639,162,1.6200000000000045,-292.985
Sub01_A_T08_R_C05,Sub01_A,amputee,1,8,right,5,unassigned_steady_or_transition,26639,26802,163,1.6200000000000045,-292.985
Sub01_A_T08_R_C06,Sub01_A,amputee,1,8,right,6,unassigned_steady_or_transition,26802,26981,179,1.7899999999999636,-292.985
Sub01_A_T08_R_C07,Sub01_A,amputee,1,8,right,7,unassigned_steady_or_transition,26981,27158,177,1.7699999999999818,-292.985
Sub01_A_T08_R_C08,Sub01_A,amputee,1,8,right,8,unassigned_steady_or_transition,27158,27324,166,1.660000000000025,-292.985
Sub01_A_T08_R_C09,Sub01_A,amputee,1,8,right,9,gait_termination,27324,27493,169,1.6800000000000068,-292.985
Sub01_A_T09_L_C01,Sub01_A,amputee,1,9,left,1,gait_initiation,28906,29071,165,1.6399999999999864,957.4194
Sub01_A_T09_L_C02,Sub01_A,amputee,1,9,left,2,unassigned_steady_or_transition,29071,29226,155,1.5500000000000114,957.4194
Sub01_A_T09_L_C03,Sub01_A,amputee,1,9,left,3,unassigned_steady_or_transition,29226,29380,154,1.5400000000000205,957.4194
Sub01_A_T09_L_C04,Sub01_A,amputee,1,9,left,4,unassigned_steady_or_transition,29380,29545,165,1.6399999999999864,957.4194
Sub01_A_T09_L_C05,Sub01_A,amputee,1,9,left,5,unassigned_steady_or_transition,29545,29716,171,1.7099999999999795,957.4194
Sub01_A_T09_L_C06,Sub01_A,amputee,1,9,left,6,unassigned_steady_or_transition,29716,29879,163,1.6299999999999955,957.4194
Sub01_A_T09_L_C07,Sub01_A,amputee,1,9,left,7,unassigned_steady_or_transition,29879,30055,176,1.759999999999991,957.4194
Sub01_A_T09_L_C08,Sub01_A,amputee,1,9,left,8,unassigned_steady_or_transition,30055,30234,179,1.7900000000000205,957.4194
Sub01_A_T09_L_C09,Sub01_A,amputee,1,9,left,9,unassigned_steady_or_transition,30234,30405,171,1.7099999999999795,957.4194
Sub01_A_T09_L_C10,Sub01_A,amputee,1,9,left,10,gait_termination,30405,30580,175,1.7399999999999523,957.4194
Sub01_A_T09_R_C01,Sub01_A,amputee,1,9,right,1,gait_initiation,29044,29200,156,1.5600000000000023,-302.115
Sub01_A_T09_R_C02,Sub01_A,amputee,1,9,right,2,unassigned_steady_or_transition,29200,29355,155,1.5399999999999636,-302.115
Sub01_A_T09_R_C03,Sub01_A,amputee,1,9,right,3,unassigned_steady_or_transition,29355,29518,163,1.6299999999999955,-302.115
Sub01_A_T09_R_C04,Sub01_A,amputee,1,9,right,4,unassigned_steady_or_transition,29518,29690,172,1.7199999999999704,-302.115
Sub01_A_T09_R_C05,Sub01_A,amputee,1,9,right,5,unassigned_steady_or_transition,29690,29853,163,1.6300000000000523,-302.115
Sub01_A_T09_R_C06,Sub01_A,amputee,1,9,right,6,unassigned_steady_or_transition,29853,30033,180,1.8000000000000114,-302.115
Sub01_A_T09_R_C07,Sub01_A,amputee,1,9,right,7,unassigned_steady_or_transition,30033,30212,179,1.7799999999999727,-302.115
Sub01_A_T09_R_C08,Sub01_A,amputee,1,9,right,8,unassigned_steady_or_transition,30212,30393,181,1.8100000000000023,-302.115
Sub01_A_T09_R_C09,Sub01_A,amputee,1,9,right,9,gait_termination,30393,30557,164,1.6400000000000432,-302.115
Sub01_A_T10_L_C01,Sub01_A,amputee,1,10,left,1,gait_initiation,32219,32386,167,1.660000000000025,980.7655
Sub01_A_T10_L_C02,Sub01_A,amputee,1,10,left,2,unassigned_steady_or_transition,32386,32548,162,1.6100000000000136,980.7655
Sub01_A_T10_L_C03,Sub01_A,amputee,1,10,left,3,unassigned_steady_or_transition,32548,32745,197,1.9700000000000273,980.7655
Sub01_A_T10_L_C04,Sub01_A,amputee,1,10,left,4,unassigned_steady_or_transition,32745,32900,155,1.5600000000000023,980.7655
Sub01_A_T10_L_C05,Sub01_A,amputee,1,10,left,5,unassigned_steady_or_transition,32900,33067,167,1.6599999999999682,980.7655
Sub01_A_T10_L_C06,Sub01_A,amputee,1,10,left,6,unassigned_steady_or_transition,33067,33233,166,1.6599999999999682,980.7655
Sub01_A_T10_L_C07,Sub01_A,amputee,1,10,left,7,unassigned_steady_or_transition,33233,33404,171,1.6999999999999886,980.7655
Sub01_A_T10_L_C08,Sub01_A,amputee,1,10,left,8,unassigned_steady_or_transition,33404,33566,162,1.6200000000000045,980.7655
Sub01_A_T10_L_C09,Sub01_A,amputee,1,10,left,9,unassigned_steady_or_transition,33566,33730,164,1.6399999999999864,980.7655
Sub01_A_T10_L_C10,Sub01_A,amputee,1,10,left,10,gait_termination,33730,33900,170,1.6899999999999977,980.7655
Sub01_A_T10_R_C01,Sub01_A,amputee,1,10,right,1,gait_initiation,32199,32369,170,1.6899999999999977,-293.975
Sub01_A_T10_R_C02,Sub01_A,amputee,1,10,right,2,unassigned_steady_or_transition,32369,32528,159,1.5900000000000318,-293.975
Sub01_A_T10_R_C03,Sub01_A,amputee,1,10,right,3,unassigned_steady_or_transition,32528,32710,182,1.8199999999999932,-293.975
Sub01_A_T10_R_C04,Sub01_A,amputee,1,10,right,4,unassigned_steady_or_transition,32710,32877,167,1.670000000000016,-293.975
Sub01_A_T10_R_C05,Sub01_A,amputee,1,10,right,5,unassigned_steady_or_transition,32877,33040,163,1.6299999999999955,-293.975
Sub01_A_T10_R_C06,Sub01_A,amputee,1,10,right,6,unassigned_steady_or_transition,33040,33204,164,1.6299999999999955,-293.975
Sub01_A_T10_R_C07,Sub01_A,amputee,1,10,right,7,unassigned_steady_or_transition,33204,33375,171,1.7100000000000364,-293.975
Sub01_A_T10_R_C08,Sub01_A,amputee,1,10,right,8,unassigned_steady_or_transition,33375,33537,162,1.6200000000000045,-293.975
Sub01_A_T10_R_C09,Sub01_A,amputee,1,10,right,9,unassigned_steady_or_transition,33537,33702,165,1.6499999999999773,-293.975
Sub01_A_T10_R_C10,Sub01_A,amputee,1,10,right,10,gait_termination,33702,33874,172,1.7099999999999795,-293.975
Sub01_A_T21_L_C01,Sub01_A,amputee,21,21,left,1,gait_initiation,1538,1710,172,1.740000000000009,-1120.1131
Sub01_A_T21_L_C02,Sub01_A,amputee,21,21,left,2,unassigned_steady_or_transition,1710,1871,161,1.6299999999998818,-1120.1131
Sub01_A_T21_L_C03,Sub01_A,amputee,21,21,left,3,unassigned_steady_or_transition,1871,2027,156,1.5699999999999363,-1120.1131
Sub01_A_T21_L_C04,Sub01_A,amputee,21,21,left,4,unassigned_steady_or_transition,2027,2190,163,1.6399999999998727,-1120.1131
Sub01_A_T21_L_C05,Sub01_A,amputee,21,21,left,5,unassigned_steady_or_transition,2190,2343,153,1.5399999999999636,-1120.1131
Sub01_A_T21_L_C06,Sub01_A,amputee,21,21,left,6,unassigned_steady_or_transition,2343,2522,179,1.8100000000001728,-1120.1131
